,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
148,Hyundai,Elantra HD,Sedan,Automatic,2021,Gas,1600,16500,Silver,Ismailia,520000
149,Chevrolet,Lanos,Sedan,Manual,2018,Gas,1600,165000,Silver,Alexandria,200000
150,Hyundai,Accent,Sedan,Manual,2006,Gas,1300,300000,Silver,Tagamo3 - New Cairo,135000
151,Toyota,Corolla,Sedan,Automatic,2019,Gas,1600,130000,Silver,Sheikh Zayed City,540000
152,Chevrolet,Captiva,SUV,Automatic,2021,Gas,1500,43000,Silver,Alexandria,650000
153,Seat,Toledo,Sedan,Manual,2001,Gas,1600,200000,Red,6 October,170000
154,Chery,Tiggo 3,SUV,Automatic,2018,Gas,1600,75000,Light grey,Madinaty,350000
155,Fiat,Tipo,Sedan,Automatic,2021,Gas,1600,46000,Dark green,Maadi,430000
156,Toyota,Corolla,Sedan,Automatic,2022,Gas,1600,45000,Silver,Beheira,750000
157,Changan,Benni,Hatchback,Automatic,2022,Gas,1300,17000,White,El Manial,320000
158,MG,HS,SUV,Automatic,2022,Gas,1500,5000,Red,Port Said,830000
159,Kia,Sportage,SUV,Automatic,2015,Gas,1600,125000,Black,Hurghada,565000
160,Hyundai,Verna,Sedan,Manual,2008,Gas,2000,100000,Blue,Ismailia,180000
161,Skoda,Octavia A4,Sedan,Automatic,1999,Gas,1600,118000,Blue,Shobra,210000
162,BMW,340,Sedan,Automatic,2019,Gas,3000,101000,Blue,Heliopolis,1550000
163,Toyota,Corolla,Sedan,Automatic,2009,Gas,1600,240000,Black,Tanta,360000
164,BMW,X3,SUV,Automatic,2021,Gas,3000,53000,Black,Mohandessin,2600000
165,Renault,Captur,Hatchback,Automatic,2017,Gas,1200,86000,Red,6 October,380000
166,Nissan,Sentra,Sedan,Automatic,2019,Gas,1600,88000,Gray,Ismailia,380000
167,Skoda,Octavia A7,Sedan,Automatic,2015,Gas,1600,104000,Cyan,Sheraton,530000
168,Renault,Logan,Sedan,Automatic,2019,Gas,1600,53000,Mocha,Maadi,370000
169,Chevrolet,Aveo,Sedan,Automatic,2015,Gas,1400,50000,Blue,Cairo,290000
170,Speranza,A113,Hatchback,Manual,2013,Gas,1300,24000,Blue,Cairo,135000
171,Geely,Emgrand 7,Sedan,Manual,2016,Gas,1600,155000,White,El Mahalla,170000
172,Fiat,127,Hatchback,Manual,1982,Gas,900,200000,Red,El Haram,25000
173,Nissan,Juke,SUV,Automatic,2012,Gas,1600,180000,Dark red,Tagamo3 - New Cairo,295000
174,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Natural Gas,1600,44000,Dark red,Shibin el Kom,470000
175,Toyota,Yaris,Sedan,Automatic,2015,Gas,1500,179000,Gray,Tagamo3 - New Cairo,340000
176,Mercedes,C 200,Sedan,Automatic,2013,Gas,1800,147000,Gray,Cairo,820000
177,Speranza,A516,Sedan,Manual,2007,Gas,1600,111000,Silver,Zagazig,120000
178,Byd,F3,Sedan,Manual,2021,Gas,1600,86000,Dark red,Alexandria,260000
179,Chery,Arrizo 5,Sedan,Automatic,2020,Gas,1500,90000,Dark blue,El Qanater El Khayreya,310000
180,Nissan,Sunny,Sedan,Manual,1997,Gas,1300,183000,Silver,Mit Ghamr,90000
181,Chevrolet,Cruze,Sedan,Automatic,2013,Gas,1600,218000,Black,Nasr city,255000
182,Fiat,Tipo,Sedan,Automatic,2022,Gas,1600,26000,Light grey,Hurghada,600000
183,Chevrolet,Aveo,Sedan,Automatic,2014,Gas,1500,150000,Gray,El Haram,250000
184,Toyota,Yaris,Sedan,Manual,2007,Gas,1600,113000,Black,Nasr city,225000
185,Fiat,Siena,Sedan,Manual,2001,Gas,1600,220000,Red,Helwan,75000
186,Volkswagen,Jetta,Sedan,Automatic,2008,Gas,1600,300000,Black,Giza,380000
187,Ford,Focus,Sedan,Automatic,2013,Gas,1600,175000,Brown,Madinaty,380000
188,Proton,Gen 2,Sedan,Automatic,2008,Gas,1600,155000,Cyan,Cairo,180000
189,Nissan,Sunny,Sedan,Automatic,2023,Gas,1500,2500,Red,Sheikh Zayed City,460000
190,Mercedes,320,Sedan,Automatic,2000,Gas,3200,135000,Black,Tagamo3 - New Cairo,395000
191,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Gas,1600,160000,Red,El Haram,360000
192,Volkswagen,Jetta,Sedan,Automatic,2010,Gas,1600,180000,Black,Asyut,375000
193,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2018,Gas,1600,250000,Dark red,Giza,470000
194,Audi,A3,Hatchback,Automatic,2008,Gas,1600,200000,Black,Cairo,350000
195,Renault,Megane,Sedan,Automatic,2013,Gas,1600,120000,Black,Sheikh Zayed City,300000
196,Hyundai,Verna,Sedan,Manual,2006,Gas,1600,311000,Light grey,Heliopolis,120000
197,Renault,Logan,Sedan,Manual,2015,Gas,1600,220000,Red,Maadi,205000
198,Mitsubishi,Outlander,4X4,Automatic,2003,Gas,2400,280000,Black,Dokki,200000
199,Peugeot,508,Sedan,Automatic,2020,Gas,1600,49000,White,El Haram,870000
200,Kia,Rio,Sedan,Automatic,2013,Gas,1600,91000,Black,Madinaty,335000
201,Chevrolet,Cruze,Sedan,Automatic,2016,Gas,1600,119000,Black,Mansoura,300000
202,BMW,116,Hatchback,Automatic,2009,Gas,1600,185000,Black,Cairo,360000
203,Renault,Logan,Sedan,Manual,2015,Gas,1600,250000,Silver,El Haram,210000
204,Mazda,Mazda 3,Sedan,Automatic,2015,Gas,1600,88000,Light grey,Mohandessin,430000
205,Mercedes,S 400,Sedan,Automatic,2017,Gas,3000,38000,Black,Nasr city,3500000
206,Opel,Astra,Sedan,Automatic,2008,Gas,1600,260000,Silver,Hurghada,250000
207,Fiat,Tipo,Sedan,Automatic,2022,Gas,1600,4350,Light grey,Beheira,600000
208,Chevrolet,Lanos,Sedan,Manual,2012,Gas,1600,195000,Gray,Ashmoun,140000
209,Toyota,Corolla,Sedan,Automatic,2008,Gas,1600,250000,Black,Tagamo3 - New Cairo,250000
210,Mazda,Mazda 3,Sedan,Automatic,2016,Gas,1600,216000,White,6 October,450000
